week,team,kicker,distance,result,made
1,CLE,D.Hopkins,51,made,1
2,CLE,D.Hopkins,53,made,1
2,CLE,D.Hopkins,38,made,1
2,CLE,D.Hopkins,44,made,1
3,CLE,D.Hopkins,53,missed,0
4,CLE,D.Hopkins,56,made,1
5,CLE,D.Hopkins,51,made,1
5,CLE,D.Hopkins,31,made,1
6,CLE,D.Hopkins,43,made,1
6,CLE,D.Hopkins,52,missed,0
6,CLE,D.Hopkins,49,made,1
6,CLE,D.Hopkins,31,made,1
7,CLE,D.Hopkins,49,missed,0
8,CLE,D.Hopkins,28,made,1
8,CLE,D.Hopkins,33,made,1
8,CLE,D.Hopkins,48,made,1
9,CLE,D.Hopkins,38,made,1
9,CLE,D.Hopkins,51,blocked,0
11,CLE,D.Hopkins,51,missed,0
11,CLE,D.Hopkins,27,missed,0
12,CLE,D.Hopkins,34,made,1
13,CLE,D.Hopkins,47,missed,0
13,CLE,D.Hopkins,45,made,1
14,CLE,D.Hopkins,38,missed,0
14,CLE,D.Hopkins,43,missed,0
17,CLE,D.Hopkins,25,made,1
18,CLE,D.Hopkins,23,made,1
