player,team,april_ab,april_h,career_ab,career_h
Aaron Judge,New York Yankees,117,50,3564,1026
Adam Frazier,Pittsburgh Pirates,86,21,3425,903
Adley Rutschman,Baltimore Orioles,99,22,1557,407
Adolis García,Texas Rangers,107,24,2344,560
Alec Bohm,Philadelphia Phillies,113,25,2238,620
Alejandro Kirk,Toronto Blue Jays,88,21,1371,362
Alex Bregman,Boston Red Sox,125,41,4157,1132
Amed Rosario,Washington Nationals,51,13,3507,958
Andrew Benintendi,Chicago White Sox,75,17,3830,1034
Andrew McCutchen,Pittsburgh Pirates,83,23,7440,2028
Andrew Vaughn,Chicago White Sox,111,18,2063,522
Andrés Giménez,Toronto Blue Jays,109,18,1937,505
Anthony Santander,Toronto Blue Jays,114,20,2830,695
Anthony Volpe,New York Yankees,114,27,1178,268
Austin Hays,Cincinnati Reds,52,19,2028,530
Austin Riley,Atlanta Braves,125,35,2728,742
Bo Bichette,Toronto Blue Jays,129,38,2493,723
Bobby Witt Jr.,Kansas City Royals,118,38,1868,538
Brandon Lowe,Tampa Bay Rays,107,23,2150,527
Brandon Nimmo,New York Mets,111,24,3136,820
Brendan Donovan,St. Louis Cardinals,114,38,1305,366
Brendan Rodgers,Houston Astros,54,12,1690,449
Brent Rooker,Athletics,124,32,1249,322
Bryan Reynolds,Pittsburgh Pirates,123,29,2973,822
Bryce Harper,Philadelphia Phillies,111,26,5934,1670
Bryson Stott,Philadelphia Phillies,101,30,1518,388
Byron Buxton,Minnesota Twins,109,26,2614,639
CJ Abrams,Washington Nationals,71,20,1388,341
Cal Raleigh,Seattle Mariners,116,27,1568,342
Carlos Correa,Minnesota Twins,107,23,4179,1150
Carlos Santana,Cleveland Guardians,105,23,7400,1789
Carson Kelly,Chicago Cubs,50,18,1591,357
Cedric Mullins,Baltimore Orioles,97,27,2432,614
Christian Walker,Houston Astros,107,21,2880,720
Christian Yelich,Milwaukee Brewers,109,24,5535,1590
Christopher Morel,Tampa Bay Rays,85,20,1302,290
Cody Bellinger,New York Yankees,98,20,3642,942
Corbin Carroll,Arizona Diamondbacks,128,37,1258,324
