season,team,game_number,game_pk,date,bat_atBats,bat_baseOnBalls,bat_doubles,bat_hitByPitch,bat_hits,bat_homeRuns,bat_plateAppearances,bat_runs,bat_sacFlies,bat_stolenBases,bat_strikeOuts,bat_triples,pit_atBats,pit_baseOnBalls,pit_battersFaced,pit_earnedRuns,pit_hits,pit_homeRuns,pit_outs,pit_runs,pit_strikeOuts
2015,Arizona Diamondbacks,1,413660,2015-04-06,34,3,1,2,9,0,39,4,0,0,6,1,37,2,40,4,13,0,27,5,7
2015,Arizona Diamondbacks,2,413669,2015-04-07,31,5,1,0,8,2,36,7,0,1,7,1,35,3,39,6,10,2,27,6,8
2015,Arizona Diamondbacks,3,413682,2015-04-08,32,2,2,1,5,0,35,2,0,0,7,0,40,2,44,5,14,1,27,5,4
2015,Arizona Diamondbacks,4,413701,2015-04-10,35,3,0,0,7,1,38,4,0,1,10,0,35,3,39,3,8,1,30,3,8
2015,Arizona Diamondbacks,5,413716,2015-04-11,32,3,0,0,10,1,35,6,0,0,7,0,28,4,32,0,2,0,27,0,9
2015,Arizona Diamondbacks,6,413731,2015-04-12,36,1,3,0,10,0,38,4,0,0,11,0,40,4,47,7,16,3,27,7,4
2015,Arizona Diamondbacks,7,413742,2015-04-13,39,4,3,0,12,0,44,8,0,2,11,1,34,1,35,4,9,1,27,4,7
2015,Arizona Diamondbacks,8,413756,2015-04-14,28,3,2,1,3,0,32,1,0,0,4,0,32,3,35,5,8,1,24,5,8
2015,Arizona Diamondbacks,9,413769,2015-04-15,33,1,1,0,9,1,34,2,0,1,8,0,29,2,32,3,9,1,24,3,5
2015,Arizona Diamondbacks,10,413783,2015-04-16,47,3,2,1,11,3,51,7,0,1,8,0,46,6,52,6,11,1,36,6,10
2015,Arizona Diamondbacks,11,413790,2015-04-17,44,6,3,0,18,0,51,9,1,2,8,1,30,1,31,0,4,0,27,0,2
2015,Arizona Diamondbacks,12,413805,2015-04-18,32,1,1,1,6,1,34,1,0,0,8,0,37,2,39,3,12,1,24,4,7
2015,Arizona Diamondbacks,13,413820,2015-04-19,35,2,1,1,8,1,38,5,0,1,7,0,31,1,33,1,8,0,27,1,3
2015,Arizona Diamondbacks,14,413857,2015-04-21,36,2,0,0,7,0,38,1,0,0,8,0,37,2,39,6,8,1,27,7,5
2015,Arizona Diamondbacks,15,413872,2015-04-22,32,3,1,0,8,1,37,8,2,1,8,1,30,7,38,5,7,1,27,5,3
2015,Arizona Diamondbacks,16,413894,2015-04-24,34,2,1,0,7,0,36,1,0,1,8,0,33,3,36,4,7,0,27,4,5
2015,Arizona Diamondbacks,17,413909,2015-04-25,33,3,0,0,8,0,36,1,0,3,5,0,34,0,34,2,7,0,27,2,10
2015,Arizona Diamondbacks,18,413924,2015-04-26,28,7,0,0,3,0,35,0,0,2,9,0,39,3,44,8,14,0,27,8,8
2015,Arizona Diamondbacks,19,413931,2015-04-27,35,4,2,0,9,0,40,4,0,1,6,0,32,5,38,5,11,1,27,5,5
2015,Arizona Diamondbacks,20,413946,2015-04-28,37,3,5,0,15,2,40,12,0,0,1,1,39,2,41,5,13,0,27,5,11
2015,Arizona Diamondbacks,21,413961,2015-04-29,34,5,1,0,13,1,40,9,0,2,5,0,31,0,31,0,5,0,27,1,6
2015,Arizona Diamondbacks,22,413983,2015-05-01,32,1,1,0,5,0,33,0,0,0,5,0,30,6,36,8,6,3,24,8,12
2015,Arizona Diamondbacks,23,413998,2015-05-02,34,2,2,0,9,2,36,4,0,0,5,0,35,2,37,6,12,2,24,6,9
2015,Arizona Diamondbacks,24,414013,2015-05-03,43,1,1,0,9,0,44,0,0,0,13,0,41,2,44,1,6,1,36,1,15
2015,Arizona Diamondbacks,25,414053,2015-05-06,41,8,4,0,19,2,50,13,1,2,7,0,37,2,41,7,12,3,27,7,7
2015,Arizona Diamondbacks,26,414038,2015-05-06,37,1,3,0,12,1,39,5,0,3,10,0,31,1,32,1,5,0,27,1,7
2015,Arizona Diamondbacks,27,414077,2015-05-07,41,1,8,0,17,2,42,11,0,0,5,0,29,2,32,0,3,0,27,0,8
2015,Arizona Diamondbacks,28,414091,2015-05-08,33,4,0,0,7,4,37,5,0,1,9,0,37,6,43,6,12,2,27,6,7
2015,Arizona Diamondbacks,29,414106,2015-05-09,43,5,1,0,9,0,48,4,0,2,13,1,49,4,54,6,14,1,36,6,8
2015,Arizona Diamondbacks,30,414121,2015-05-10,27,1,1,0,5,2,29,2,0,0,6,0,34,3,37,1,8,0,27,1,9
2015,Arizona Diamondbacks,31,414133,2015-05-11,32,2,1,0,6,1,34,1,0,0,7,0,41,3,45,11,15,2,27,11,10
2015,Arizona Diamondbacks,32,414148,2015-05-12,36,3,2,0,16,3,43,14,3,0,6,1,35,3,39,6,12,1,27,6,4
2015,Arizona Diamondbacks,33,414163,2015-05-13,40,5,2,0,14,0,45,6,0,0,10,1,35,6,42,9,8,3,27,9,5
2015,Arizona Diamondbacks,34,414176,2015-05-15,37,1,2,0,10,0,38,3,0,0,6,0,30,3,34,4,7,0,24,4,6
2015,Arizona Diamondbacks,35,414191,2015-05-16,37,0,1,0,10,2,37,5,0,0,8,0,38,4,42,7,13,1,24,7,8
2015,Arizona Diamondbacks,36,414206,2015-05-17,34,3,1,0,8,0,37,0,0,1,6,0,32,4,38,6,11,2,24,6,4
2015,Arizona Diamondbacks,37,414221,2015-05-18,45,1,3,0,9,0,47,3,0,1,12,0,41,3,45,2,6,1,39,2,10
2015,Arizona Diamondbacks,38,414228,2015-05-19,34,2,1,0,9,1,37,4,0,0,4,0,31,2,34,2,6,1,27,2,8
2015,Arizona Diamondbacks,39,414243,2015-05-20,37,3,1,0,11,0,42,6,1,7,9,0,29,1,31,1,4,0,27,1,2
2015,Arizona Diamondbacks,40,414258,2015-05-21,35,3,4,0,11,0,42,7,2,1,9,0,36,3,41,6,12,0,27,6,9
2015,Arizona Diamondbacks,41,414271,2015-05-22,48,5,2,0,12,2,53,5,0,3,9,1,49,5,54,4,11,1,39,4,11
2015,Arizona Diamondbacks,42,414286,2015-05-23,34,2,2,0,7,1,36,6,0,0,8,0,36,3,41,8,8,1,27,9,13
2015,Arizona Diamondbacks,43,414301,2015-05-24,29,1,0,0,6,1,31,4,1,1,10,1,31,1,32,3,5,2,27,3,5
2015,Arizona Diamondbacks,44,414314,2015-05-25,37,5,0,0,9,1,43,2,0,0,10,0,39,2,41,3,15,1,27,3,8
2015,Arizona Diamondbacks,45,414329,2015-05-26,37,3,4,0,11,1,41,4,0,0,8,0,31,3,34,6,8,1,24,6,9
2015,Arizona Diamondbacks,46,414344,2015-05-27,34,5,0,0,7,1,39,3,0,1,6,0,36,4,40,3,10,2,26,4,5
2015,Arizona Diamondbacks,47,414365,2015-05-29,38,3,4,2,11,4,43,7,0,1,12,0,38,3,41,5,11,2,27,5,6
2015,Arizona Diamondbacks,48,414380,2015-05-30,41,1,2,0,13,2,42,7,0,0,6,0,33,1,36,3,8,0,27,3,5
2015,Arizona Diamondbacks,49,414395,2015-05-31,61,9,2,0,16,2,74,6,1,2,14,1,65,5,71,7,16,1,49,7,13
2015,Arizona Diamondbacks,50,414410,2015-06-01,32,0,2,0,7,0,33,1,1,1,5,0,38,3,44,7,13,1,27,8,7
2015,Arizona Diamondbacks,51,414421,2015-06-02,32,10,1,0,9,1,43,7,0,2,4,0,36,2,38,6,10,0,27,6,5
2015,Arizona Diamondbacks,52,414436,2015-06-03,36,4,4,0,12,1,41,9,1,1,7,0,38,2,42,8,13,3,27,8,12
2015,Arizona Diamondbacks,53,414457,2015-06-04,34,2,0,0,8,2,36,2,0,0,11,0,41,1,43,4,14,1,27,6,9
2015,Arizona Diamondbacks,54,414468,2015-06-05,30,4,3,0,9,0,36,7,1,3,10,1,32,3,35,2,6,1,27,2,10
2015,Arizona Diamondbacks,55,414483,2015-06-06,29,2,0,0,6,1,31,2,0,0,8,0,33,2,36,1,10,1,27,1,8
2015,Arizona Diamondbacks,56,414498,2015-06-07,31,3,1,0,5,0,35,3,1,0,10,0,36,4,40,6,11,4,27,6,3
2015,Arizona Diamondbacks,57,414506,2015-06-08,31,2,1,0,5,0,33,3,0,0,10,0,34,1,35,9,10,2,24,9,5
2015,Arizona Diamondbacks,58,414515,2015-06-09,32,1,1,0,9,0,35,1,0,0,6,0,30,5,36,3,7,1,24,3,4
2015,Arizona Diamondbacks,59,414530,2015-06-10,36,2,1,1,11,3,41,6,1,1,5,0,32,5,40,7,9,2,25,7,8
2015,Arizona Diamondbacks,60,414553,2015-06-12,33,4,1,0,11,0,39,1,0,0,8,0,28,1,31,0,2,0,27,0,3
2015,Arizona Diamondbacks,61,414568,2015-06-13,32,5,0,0,7,0,37,4,0,1,6,0,30,3,34,2,4,0,27,2,4
2015,Arizona Diamondbacks,62,414583,2015-06-14,33,5,2,1,8,0,40,4,1,2,11,0,30,3,33,0,8,0,27,0,7
2015,Arizona Diamondbacks,63,414598,2015-06-15,35,4,3,0,11,2,41,7,1,1,7,0,29,4,33,0,4,0,27,3,3
2015,Arizona Diamondbacks,64,414613,2015-06-16,31,3,0,0,5,0,35,1,1,0,6,0,32,2,34,4,8,2,24,4,7
2015,Arizona Diamondbacks,65,414628,2015-06-17,32,2,1,0,10,2,35,3,0,2,12,1,36,1,37,2,11,0,27,2,4
2015,Arizona Diamondbacks,66,414643,2015-06-18,34,0,3,0,8,0,34,1,0,0,11,0,31,7,38,7,8,2,27,7,6
2015,Arizona Diamondbacks,67,414668,2015-06-19,30,4,4,1,9,0,36,4,0,1,8,0,34,5,40,1,6,0,27,2,7
2015,Arizona Diamondbacks,68,414683,2015-06-20,29,1,1,1,4,0,32,1,0,0,9,1,36,4,40,7,10,2,27,8,10
2015,Arizona Diamondbacks,69,414698,2015-06-21,30,2,1,1,4,0,33,7,0,1,6,0,34,0,35,2,8,0,27,2,8
2015,Arizona Diamondbacks,70,414710,2015-06-23,37,2,0,0,11,3,39,5,0,0,5,0,32,3,36,10,11,5,24,10,5
2015,Arizona Diamondbacks,71,414725,2015-06-24,39,5,3,0,13,1,45,8,1,0,6,0,34,5,39,5,8,1,27,7,6
2015,Arizona Diamondbacks,72,414740,2015-06-25,34,5,2,0,9,0,40,4,1,2,7,0,30,6,37,4,7,2,24,6,5
2015,Arizona Diamondbacks,73,414751,2015-06-26,26,6,0,0,2,0,32,2,0,2,8,0,29,0,32,3,8,0,24,4,7
2015,Arizona Diamondbacks,74,414766,2015-06-27,33,0,3,0,8,0,33,2,0,0,8,0,38,1,39,7,15,1,24,7,8
2015,Arizona Diamondbacks,75,414781,2015-06-28,34,0,0,1,6,3,35,6,0,1,8,0,31,2,34,4,5,3,27,4,3
2015,Arizona Diamondbacks,76,414800,2015-06-29,34,5,1,0,12,2,41,10,0,6,8,1,36,7,44,6,10,3,27,6,8
2015,Arizona Diamondbacks,77,414811,2015-06-30,34,5,1,0,10,1,40,4,1,0,6,0,41,3,44,6,11,2,30,6,13
