season,team,game_number,game_pk,date,opponent,home,runs_for,runs_against,won
2014,Arizona Diamondbacks,1,380537,2014-03-22,Los Angeles Dodgers,1,1,3,0
2014,Arizona Diamondbacks,2,380538,2014-03-22,Los Angeles Dodgers,1,5,7,0
2014,Arizona Diamondbacks,3,380550,2014-03-31,San Francisco Giants,1,8,9,0
2014,Arizona Diamondbacks,4,380561,2014-04-01,San Francisco Giants,1,5,4,1
2014,Arizona Diamondbacks,5,380574,2014-04-02,San Francisco Giants,1,0,2,0
2014,Arizona Diamondbacks,6,380585,2014-04-03,San Francisco Giants,1,5,8,0
2014,Arizona Diamondbacks,7,380590,2014-04-04,Colorado Rockies,0,2,12,0
2014,Arizona Diamondbacks,8,380605,2014-04-05,Colorado Rockies,0,4,9,0
2014,Arizona Diamondbacks,9,380620,2014-04-06,Colorado Rockies,0,5,3,1
2014,Arizona Diamondbacks,10,380644,2014-04-08,San Francisco Giants,0,3,7,0
2014,Arizona Diamondbacks,11,380657,2014-04-09,San Francisco Giants,0,7,3,1
2014,Arizona Diamondbacks,12,380671,2014-04-10,San Francisco Giants,0,6,5,1
2014,Arizona Diamondbacks,13,380687,2014-04-11,Los Angeles Dodgers,1,0,6,0
2014,Arizona Diamondbacks,14,380702,2014-04-12,Los Angeles Dodgers,1,5,8,0
2014,Arizona Diamondbacks,15,380717,2014-04-13,Los Angeles Dodgers,1,6,8,0
2014,Arizona Diamondbacks,16,380727,2014-04-14,New York Mets,1,3,7,0
2014,Arizona Diamondbacks,17,380741,2014-04-15,New York Mets,1,0,9,0
2014,Arizona Diamondbacks,18,380756,2014-04-16,New York Mets,1,2,5,0
2014,Arizona Diamondbacks,19,380776,2014-04-18,Los Angeles Dodgers,0,4,2,1
2014,Arizona Diamondbacks,20,380791,2014-04-19,Los Angeles Dodgers,0,6,8,0
2014,Arizona Diamondbacks,21,380806,2014-04-20,Los Angeles Dodgers,0,1,4,0
2014,Arizona Diamondbacks,22,380821,2014-04-21,Chicago Cubs,0,1,5,0
2014,Arizona Diamondbacks,23,380834,2014-04-22,Chicago Cubs,0,2,9,0
2014,Arizona Diamondbacks,24,380849,2014-04-23,Chicago Cubs,0,7,5,1
2014,Arizona Diamondbacks,25,380863,2014-04-24,Chicago Cubs,0,5,2,1
2014,Arizona Diamondbacks,26,380884,2014-04-25,Philadelphia Phillies,1,5,4,1
2014,Arizona Diamondbacks,27,380899,2014-04-26,Philadelphia Phillies,1,5,6,0
2014,Arizona Diamondbacks,28,380914,2014-04-27,Philadelphia Phillies,1,0,2,0
2014,Arizona Diamondbacks,29,380921,2014-04-28,Colorado Rockies,1,5,8,0
2014,Arizona Diamondbacks,30,380929,2014-04-29,Colorado Rockies,1,4,5,0
2014,Arizona Diamondbacks,31,380944,2014-04-30,Colorado Rockies,1,5,4,1
2014,Arizona Diamondbacks,32,380963,2014-05-02,San Diego Padres,0,2,0,1
2014,Arizona Diamondbacks,33,380978,2014-05-03,San Diego Padres,0,4,3,1
2014,Arizona Diamondbacks,34,380993,2014-05-04,San Diego Padres,0,3,4,0
2014,Arizona Diamondbacks,35,381008,2014-05-05,Milwaukee Brewers,0,3,8,0
2014,Arizona Diamondbacks,36,381021,2014-05-06,Milwaukee Brewers,0,7,5,1
2014,Arizona Diamondbacks,37,381036,2014-05-07,Milwaukee Brewers,0,3,2,1
2014,Arizona Diamondbacks,38,381061,2014-05-09,Chicago White Sox,0,3,9,0
2014,Arizona Diamondbacks,39,381076,2014-05-10,Chicago White Sox,0,4,3,1
2014,Arizona Diamondbacks,40,381091,2014-05-11,Chicago White Sox,0,5,1,1
2014,Arizona Diamondbacks,41,381114,2014-05-12,Washington Nationals,1,5,6,0
2014,Arizona Diamondbacks,42,381129,2014-05-13,Washington Nationals,1,3,1,1
2014,Arizona Diamondbacks,43,381144,2014-05-14,Washington Nationals,1,1,5,0
2014,Arizona Diamondbacks,44,381159,2014-05-16,Los Angeles Dodgers,1,0,7,0
2014,Arizona Diamondbacks,45,381174,2014-05-17,Los Angeles Dodgers,1,18,7,1
2014,Arizona Diamondbacks,46,381189,2014-05-18,Los Angeles Dodgers,1,5,3,1
2014,Arizona Diamondbacks,47,381204,2014-05-20,St. Louis Cardinals,0,0,5,0
2014,Arizona Diamondbacks,48,381219,2014-05-21,St. Louis Cardinals,0,2,3,0
2014,Arizona Diamondbacks,49,381234,2014-05-22,St. Louis Cardinals,0,2,4,0
2014,Arizona Diamondbacks,50,381262,2014-05-24,New York Mets,0,3,2,1
2014,Arizona Diamondbacks,51,381277,2014-05-25,New York Mets,0,2,1,1
2014,Arizona Diamondbacks,52,381247,2014-05-25,New York Mets,0,2,4,0
2014,Arizona Diamondbacks,53,381304,2014-05-26,San Diego Padres,1,7,5,1
2014,Arizona Diamondbacks,54,381319,2014-05-27,San Diego Padres,1,3,4,0
2014,Arizona Diamondbacks,55,381334,2014-05-28,San Diego Padres,1,12,6,1
2014,Arizona Diamondbacks,56,381340,2014-05-29,Cincinnati Reds,1,4,0,1
2014,Arizona Diamondbacks,57,381351,2014-05-30,Cincinnati Reds,1,4,6,0
2014,Arizona Diamondbacks,58,381366,2014-05-31,Cincinnati Reds,1,0,5,0
2014,Arizona Diamondbacks,59,381381,2014-06-01,Cincinnati Reds,1,3,4,0
2014,Arizona Diamondbacks,60,381399,2014-06-03,Colorado Rockies,0,4,2,1
2014,Arizona Diamondbacks,61,381414,2014-06-04,Colorado Rockies,0,16,8,1
2014,Arizona Diamondbacks,62,381429,2014-06-05,Colorado Rockies,0,12,7,1
2014,Arizona Diamondbacks,63,381439,2014-06-06,Atlanta Braves,1,2,5,0
2014,Arizona Diamondbacks,64,381454,2014-06-07,Atlanta Braves,1,4,3,1
2014,Arizona Diamondbacks,65,381469,2014-06-08,Atlanta Braves,1,6,5,1
2014,Arizona Diamondbacks,66,381489,2014-06-09,Houston Astros,1,3,4,0
2014,Arizona Diamondbacks,67,381501,2014-06-10,Houston Astros,1,4,1,1
2014,Arizona Diamondbacks,68,381511,2014-06-11,Houston Astros,0,1,5,0
2014,Arizona Diamondbacks,69,381526,2014-06-12,Houston Astros,0,4,5,0
2014,Arizona Diamondbacks,70,381538,2014-06-13,Los Angeles Dodgers,0,3,4,0
2014,Arizona Diamondbacks,71,381553,2014-06-14,Los Angeles Dodgers,0,4,6,0
2014,Arizona Diamondbacks,72,381568,2014-06-15,Los Angeles Dodgers,0,6,3,1
2014,Arizona Diamondbacks,73,381587,2014-06-16,Milwaukee Brewers,1,3,9,0
2014,Arizona Diamondbacks,74,381600,2014-06-17,Milwaukee Brewers,1,5,7,0
2014,Arizona Diamondbacks,75,381615,2014-06-18,Milwaukee Brewers,1,4,3,1
2014,Arizona Diamondbacks,76,381629,2014-06-19,Milwaukee Brewers,1,1,4,0
2014,Arizona Diamondbacks,77,381646,2014-06-20,San Francisco Giants,1,4,1,1
2014,Arizona Diamondbacks,78,381661,2014-06-21,San Francisco Giants,1,4,6,0
2014,Arizona Diamondbacks,79,381676,2014-06-22,San Francisco Giants,1,1,4,0
2014,Arizona Diamondbacks,80,381695,2014-06-24,Cleveland Indians,1,9,8,1
2014,Arizona Diamondbacks,81,381710,2014-06-25,Cleveland Indians,1,1,6,0
2014,Arizona Diamondbacks,82,381731,2014-06-27,San Diego Padres,0,2,1,1
2014,Arizona Diamondbacks,83,381746,2014-06-28,San Diego Padres,0,3,1,1
2014,Arizona Diamondbacks,84,381761,2014-06-29,San Diego Padres,0,1,2,0
2014,Arizona Diamondbacks,85,381787,2014-07-01,Pittsburgh Pirates,0,2,3,0
2014,Arizona Diamondbacks,86,381802,2014-07-02,Pittsburgh Pirates,0,1,5,0
2014,Arizona Diamondbacks,87,381816,2014-07-03,Pittsburgh Pirates,0,10,2,1
2014,Arizona Diamondbacks,88,381825,2014-07-04,Atlanta Braves,0,2,5,0
2014,Arizona Diamondbacks,89,381840,2014-07-05,Atlanta Braves,0,4,10,0
2014,Arizona Diamondbacks,90,381855,2014-07-06,Atlanta Braves,0,3,1,1
2014,Arizona Diamondbacks,91,381876,2014-07-07,Miami Marlins,1,9,1,1
2014,Arizona Diamondbacks,92,381891,2014-07-08,Miami Marlins,1,1,2,0
2014,Arizona Diamondbacks,93,381905,2014-07-09,Miami Marlins,1,4,3,1
2014,Arizona Diamondbacks,94,381927,2014-07-11,San Francisco Giants,0,0,5,0
2014,Arizona Diamondbacks,95,381942,2014-07-12,San Francisco Giants,0,2,0,1
2014,Arizona Diamondbacks,96,381957,2014-07-13,San Francisco Giants,0,4,8,0
2014,Arizona Diamondbacks,97,381973,2014-07-18,Chicago Cubs,1,5,4,1
2014,Arizona Diamondbacks,98,381988,2014-07-19,Chicago Cubs,1,9,3,1
2014,Arizona Diamondbacks,99,382003,2014-07-20,Chicago Cubs,1,3,2,1
2014,Arizona Diamondbacks,100,382021,2014-07-21,Detroit Tigers,1,3,4,0
2014,Arizona Diamondbacks,101,382033,2014-07-22,Detroit Tigers,1,5,4,1
2014,Arizona Diamondbacks,102,382048,2014-07-23,Detroit Tigers,1,5,11,0
2014,Arizona Diamondbacks,103,382070,2014-07-25,Philadelphia Phillies,0,5,9,0
2014,Arizona Diamondbacks,104,382085,2014-07-26,Philadelphia Phillies,0,10,6,1
2014,Arizona Diamondbacks,105,382100,2014-07-27,Philadelphia Phillies,0,2,4,0
2014,Arizona Diamondbacks,106,382115,2014-07-28,Cincinnati Reds,0,2,1,1
2014,Arizona Diamondbacks,107,382126,2014-07-29,Cincinnati Reds,0,0,3,0
2014,Arizona Diamondbacks,108,382141,2014-07-30,Cincinnati Reds,0,5,4,1
2014,Arizona Diamondbacks,109,382162,2014-07-31,Pittsburgh Pirates,1,7,4,1
2014,Arizona Diamondbacks,110,382176,2014-08-01,Pittsburgh Pirates,1,4,9,0
2014,Arizona Diamondbacks,111,382191,2014-08-02,Pittsburgh Pirates,1,3,8,0
2014,Arizona Diamondbacks,112,382206,2014-08-03,Pittsburgh Pirates,1,3,2,1
2014,Arizona Diamondbacks,113,382225,2014-08-05,Kansas City Royals,1,2,12,0
2014,Arizona Diamondbacks,114,382239,2014-08-06,Kansas City Royals,1,3,4,0
2014,Arizona Diamondbacks,115,382254,2014-08-07,Kansas City Royals,1,2,6,0
2014,Arizona Diamondbacks,116,382263,2014-08-08,Colorado Rockies,1,5,3,1
2014,Arizona Diamondbacks,117,382278,2014-08-09,Colorado Rockies,1,14,4,1
2014,Arizona Diamondbacks,118,382293,2014-08-10,Colorado Rockies,1,3,5,0
2014,Arizona Diamondbacks,119,382331,2014-08-13,Cleveland Indians,0,2,3,0
2014,Arizona Diamondbacks,120,382316,2014-08-13,Cleveland Indians,0,1,0,1
2014,Arizona Diamondbacks,121,382346,2014-08-14,Miami Marlins,0,4,5,0
2014,Arizona Diamondbacks,122,382357,2014-08-15,Miami Marlins,0,3,2,1
2014,Arizona Diamondbacks,123,382372,2014-08-16,Miami Marlins,0,1,2,0
2014,Arizona Diamondbacks,124,382387,2014-08-17,Miami Marlins,0,3,10,0
2014,Arizona Diamondbacks,125,382402,2014-08-18,Washington Nationals,0,4,5,0
2014,Arizona Diamondbacks,126,382410,2014-08-19,Washington Nationals,0,1,8,0
2014,Arizona Diamondbacks,127,382425,2014-08-20,Washington Nationals,0,2,3,0
2014,Arizona Diamondbacks,128,382440,2014-08-21,Washington Nationals,0,0,1,0
2014,Arizona Diamondbacks,129,382457,2014-08-22,San Diego Padres,1,5,1,1
2014,Arizona Diamondbacks,130,382472,2014-08-23,San Diego Padres,1,5,2,1
2014,Arizona Diamondbacks,131,382487,2014-08-24,San Diego Padres,1,4,7,0
2014,Arizona Diamondbacks,132,382506,2014-08-26,Los Angeles Dodgers,1,5,9,0
2014,Arizona Diamondbacks,133,382521,2014-08-27,Los Angeles Dodgers,1,1,3,0
2014,Arizona Diamondbacks,134,382544,2014-08-29,Colorado Rockies,1,5,2,1
2014,Arizona Diamondbacks,135,382559,2014-08-30,Colorado Rockies,1,0,2,0
2014,Arizona Diamondbacks,136,382574,2014-08-31,Colorado Rockies,1,6,2,1
2014,Arizona Diamondbacks,137,382585,2014-09-01,San Diego Padres,0,1,3,0
2014,Arizona Diamondbacks,138,382598,2014-09-02,San Diego Padres,0,1,2,0
2014,Arizona Diamondbacks,139,382613,2014-09-03,San Diego Padres,0,6,1,1
2014,Arizona Diamondbacks,140,382628,2014-09-04,San Diego Padres,0,5,1,1
2014,Arizona Diamondbacks,141,382635,2014-09-05,Los Angeles Dodgers,0,1,2,0
2014,Arizona Diamondbacks,142,382650,2014-09-06,Los Angeles Dodgers,0,2,5,0
2014,Arizona Diamondbacks,143,382665,2014-09-07,Los Angeles Dodgers,0,2,7,0
2014,Arizona Diamondbacks,144,382691,2014-09-09,San Francisco Giants,0,1,5,0
2014,Arizona Diamondbacks,145,382706,2014-09-10,San Francisco Giants,0,0,5,0
2014,Arizona Diamondbacks,146,382721,2014-09-11,San Francisco Giants,0,2,6,0
2014,Arizona Diamondbacks,147,382742,2014-09-12,San Diego Padres,1,5,6,0
2014,Arizona Diamondbacks,148,382757,2014-09-13,San Diego Padres,1,10,4,1
2014,Arizona Diamondbacks,149,382772,2014-09-14,San Diego Padres,1,8,6,1
2014,Arizona Diamondbacks,150,382784,2014-09-15,San Francisco Giants,1,6,2,1
2014,Arizona Diamondbacks,151,382798,2014-09-16,San Francisco Giants,1,1,2,0
2014,Arizona Diamondbacks,152,382813,2014-09-17,San Francisco Giants,1,2,4,0
2014,Arizona Diamondbacks,153,382817,2014-09-18,Colorado Rockies,0,6,7,0
2014,Arizona Diamondbacks,154,382827,2014-09-19,Colorado Rockies,0,3,15,0
2014,Arizona Diamondbacks,155,382842,2014-09-20,Colorado Rockies,0,1,5,0
2014,Arizona Diamondbacks,156,382857,2014-09-21,Colorado Rockies,0,3,8,0
2014,Arizona Diamondbacks,157,382873,2014-09-22,Minnesota Twins,0,6,2,1
2014,Arizona Diamondbacks,158,382884,2014-09-23,Minnesota Twins,0,3,6,0
2014,Arizona Diamondbacks,159,382899,2014-09-24,Minnesota Twins,0,1,2,0
2014,Arizona Diamondbacks,160,382937,2014-09-26,St. Louis Cardinals,1,6,7,0
2014,Arizona Diamondbacks,161,382952,2014-09-27,St. Louis Cardinals,1,5,2,1
2014,Arizona Diamondbacks,162,382967,2014-09-28,St. Louis Cardinals,1,0,1,0
2014,Atlanta Braves,1,380540,2014-03-31,Milwaukee Brewers,0,0,2,0
2014,Atlanta Braves,2,380554,2014-04-01,Milwaukee Brewers,0,5,2,1
2014,Atlanta Braves,3,380563,2014-04-02,Milwaukee Brewers,0,1,0,1
2014,Atlanta Braves,4,380591,2014-04-04,Washington Nationals,0,2,1,1
2014,Atlanta Braves,5,380606,2014-04-05,Washington Nationals,0,6,2,1
2014,Atlanta Braves,6,380621,2014-04-06,Washington Nationals,0,1,2,0
2014,Atlanta Braves,7,380651,2014-04-08,New York Mets,1,0,4,0
2014,Atlanta Braves,8,380665,2014-04-09,New York Mets,1,4,3,1
2014,Atlanta Braves,9,380677,2014-04-10,New York Mets,1,4,6,0
2014,Atlanta Braves,10,380694,2014-04-11,Washington Nationals,1,7,6,1
2014,Atlanta Braves,11,380709,2014-04-12,Washington Nationals,1,6,3,1
2014,Atlanta Braves,12,380724,2014-04-13,Washington Nationals,1,10,2,1
2014,Atlanta Braves,13,380725,2014-04-14,Philadelphia Phillies,0,9,6,1
2014,Atlanta Braves,14,380749,2014-04-16,Philadelphia Phillies,0,1,0,1
2014,Atlanta Braves,15,380764,2014-04-17,Philadelphia Phillies,0,0,1,0
2014,Atlanta Braves,16,380777,2014-04-18,New York Mets,0,6,0,1
