season,game_id,team,state,plays,rush_att
2022,2022_01_BAL_NYJ,BAL,tied,12,5
2022,2022_01_BAL_NYJ,BAL,up 1-8,25,9
2022,2022_01_BAL_NYJ,BAL,up 9+,14,5
2022,2022_01_BAL_NYJ,NYJ,down 9+,48,8
2022,2022_01_BAL_NYJ,NYJ,down 1-8,19,3
2022,2022_01_BAL_NYJ,NYJ,tied,12,6
2022,2022_01_BUF_LA,BUF,tied,17,9
2022,2022_01_BUF_LA,BUF,up 1-8,34,11
2022,2022_01_BUF_LA,BUF,up 9+,6,4
2022,2022_01_BUF_LA,LA,down 9+,37,9
2022,2022_01_BUF_LA,LA,down 1-8,26,8
2022,2022_01_BUF_LA,LA,tied,3,1
2022,2022_01_CLE_CAR,CAR,down 9+,23,10
2022,2022_01_CLE_CAR,CAR,down 1-8,10,4
2022,2022_01_CLE_CAR,CAR,tied,16,4
2022,2022_01_CLE_CAR,CLE,down 1-8,3,0
2022,2022_01_CLE_CAR,CLE,tied,22,11
2022,2022_01_CLE_CAR,CLE,up 1-8,32,19
2022,2022_01_CLE_CAR,CLE,up 9+,15,9
2022,2022_01_DEN_SEA,DEN,down 1-8,64,20
2022,2022_01_DEN_SEA,SEA,tied,13,3
2022,2022_01_DEN_SEA,SEA,up 1-8,33,13
2022,2022_01_GB_MIN,GB,down 9+,38,8
2022,2022_01_GB_MIN,GB,down 1-8,21,9
2022,2022_01_GB_MIN,MIN,tied,10,2
2022,2022_01_GB_MIN,MIN,up 1-8,15,8
2022,2022_01_GB_MIN,MIN,up 9+,36,18
2022,2022_01_IND_HOU,HOU,down 1-8,16,6
2022,2022_01_IND_HOU,HOU,tied,18,6
2022,2022_01_IND_HOU,HOU,up 1-8,15,8
2022,2022_01_IND_HOU,HOU,up 9+,18,7
2022,2022_01_IND_HOU,IND,down 9+,24,9
2022,2022_01_IND_HOU,IND,down 1-8,15,5
2022,2022_01_IND_HOU,IND,tied,41,19
2022,2022_01_IND_HOU,IND,up 1-8,10,5
2022,2022_01_JAX_WAS,JAX,down 9+,26,6
2022,2022_01_JAX_WAS,JAX,down 1-8,26,7
2022,2022_01_JAX_WAS,JAX,tied,6,2
2022,2022_01_JAX_WAS,JAX,up 1-8,5,3
2022,2022_01_JAX_WAS,WAS,down 1-8,27,9
2022,2022_01_JAX_WAS,WAS,up 1-8,26,11
2022,2022_01_JAX_WAS,WAS,up 9+,16,5
