season,week,game_id,team,opponent,is_home,plays,rush_att,pass_plays,run_share,points_for,points_against,margin,mean_score_diff
2022,1,2022_01_BAL_NYJ,BAL,NYJ,0,51,19,32,0.3725,24,9,15,7.569
2022,1,2022_01_BAL_NYJ,NYJ,BAL,1,79,17,62,0.2152,9,24,-15,-12.215
2022,1,2022_01_BUF_LA,BUF,LA,0,57,24,33,0.4211,31,10,21,5.737
2022,1,2022_01_BUF_LA,LA,BUF,1,66,18,48,0.2727,10,31,-21,-11.742
2022,1,2022_01_CLE_CAR,CAR,CLE,1,49,18,31,0.3673,24,26,-2,-6.796
2022,1,2022_01_CLE_CAR,CLE,CAR,0,72,39,33,0.5417,26,24,2,4.667
2022,1,2022_01_DEN_SEA,DEN,SEA,0,64,20,44,0.3125,16,17,-1,-4.469
2022,1,2022_01_DEN_SEA,SEA,DEN,1,46,16,30,0.3478,17,16,1,2.674
2022,1,2022_01_GB_MIN,GB,MIN,0,59,17,42,0.2881,7,23,-16,-12.712
2022,1,2022_01_GB_MIN,MIN,GB,1,61,28,33,0.459,23,7,16,9.787
2022,1,2022_01_IND_HOU,HOU,IND,1,67,27,40,0.403,20,20,0,4.91
2022,1,2022_01_IND_HOU,IND,HOU,0,90,38,52,0.4222,20,20,0,-4.689
2022,1,2022_01_JAX_WAS,JAX,WAS,0,63,18,45,0.2857,22,28,-6,-6.19
2022,1,2022_01_JAX_WAS,WAS,JAX,1,69,25,44,0.3623,28,22,6,2.841
2022,1,2022_01_KC_ARI,ARI,KC,1,64,21,43,0.3281,21,44,-23,-20.391
2022,1,2022_01_KC_ARI,KC,ARI,0,66,27,39,0.4091,44,21,23,12.576
2022,1,2022_01_LV_LAC,LAC,LV,1,63,29,34,0.4603,24,19,5,5.016
2022,1,2022_01_LV_LAC,LV,LAC,0,57,13,44,0.2281,19,24,-5,-8.316
2022,1,2022_01_NE_MIA,MIA,NE,1,57,21,36,0.3684,20,7,13,8.281
2022,1,2022_01_NE_MIA,NE,MIA,0,53,21,32,0.3962,7,20,-13,-9.943
2022,1,2022_01_NO_ATL,ATL,NO,1,70,38,32,0.5429,26,27,-1,3.871
2022,1,2022_01_NO_ATL,NO,ATL,0,57,20,37,0.3509,27,26,1,-6.386
2022,1,2022_01_NYG_TEN,NYG,TEN,0,60,33,27,0.55,21,20,1,-8.15
2022,1,2022_01_NYG_TEN,TEN,NYG,1,59,26,33,0.4407,20,21,-1,5.847
2022,1,2022_01_PHI_DET,DET,PHI,1,65,27,38,0.4154,35,38,-3,-9.585
2022,1,2022_01_PHI_DET,PHI,DET,0,71,38,33,0.5352,38,35,3,2.014
2022,1,2022_01_PIT_CIN,CIN,PIT,1,95,34,61,0.3579,20,23,-3,-6.884
2022,1,2022_01_PIT_CIN,PIT,CIN,0,59,21,38,0.3559,23,20,3,4.458
2022,1,2022_01_SF_CHI,CHI,SF,1,53,34,19,0.6415,19,10,9,-2.434
2022,1,2022_01_SF_CHI,SF,CHI,0,67,37,30,0.5522,10,19,-9,-0.06
2022,1,2022_01_TB_DAL,DAL,TB,1,63,17,46,0.2698,3,19,-16,-9.349
2022,1,2022_01_TB_DAL,TB,DAL,0,60,31,29,0.5167,19,3,16,6.567
2022,2,2022_02_ARI_LV,ARI,LV,0,80,29,51,0.3625,29,23,6,-12.15
2022,2,2022_02_ARI_LV,LV,ARI,1,61,21,40,0.3443,23,29,-6,8.213
2022,2,2022_02_ATL_LA,ATL,LA,0,57,27,30,0.4737,27,31,-4,-11.912
2022,2,2022_02_ATL_LA,LA,ATL,1,63,26,37,0.4127,31,27,4,11.54
